,player_id,player_name,games_played,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,fantasy_points,fantasy_points_ppr
0,00-0000865,C.Batch,11,1999,149.0,267.0,1908.0,13.0,7.0,36.0,186.0,4.0,1.0,0.0,0.0,88.0,-18.413684872130972,1.0,0.7190606602435532,28.0,87.0,2.0,0.0,0.0,8.0,7.507729776029009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.02,135.02
0,00-0000869,D.Bates,4,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.031869441503659,0.0,0.0,1.9000000000000001,3.9000000000000004
0,00-0000871,M.Bates,10,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,202.0,9.0,0.0,0.0,23.0,2.7262087124629,0.0,5.0,7.0,34.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.8096472011529847,0.0,0.0,77.60000000000001,82.6
0,00-0000872,M.Bates,5,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,1.0,-0.40569845162099216,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3865548712201416,0.0,2.0,13.399999999999999,14.4
0,00-0000883,M.Battaglia,11,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,27.0,153.0,0.0,0.0,0.0,0.0,0.0,6.0,-0.286812041682424,0.0,0.0,15.300000000000002,29.299999999999997
0,00-0000911,F.Baxter,10,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,66.0,2.0,0.0,0.0,0.0,0.0,5.0,-0.06618935439482243,0.0,0.0,18.6,26.6
0,00-0000942,F.Beasley,13,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,276.0,4.0,2.0,2.0,18.0,-1.4667130118099694,0.0,32.0,51.0,282.0,0.0,0.0,0.0,0.0,29.0,16.0,3.9240218311187727,0.0,0.0,75.8,107.8
0,00-0000969,B.Bech,6,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,65.0,1.0,0.0,0.0,0.0,8.0,4.0,6.302335154497996,1.0,0.0,14.5,18.5
0,00-0001101,D.Bennett,1,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.25353454449214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,00-0001102,D.Bennett,13,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,625.0,8.0,1.0,1.0,38.0,-3.349266180200317,0.0,10.0,12.0,41.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.8604012649448123,0.0,0.0,112.60000000000001,122.60000000000001
0,00-0001103,E.Bennett,12,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,0.0,0.0,0.0,1.0,0.05610113649163351,0.0,14.0,21.0,116.0,0.0,1.0,1.0,0.0,36.0,5.0,-0.4490866820560765,0.0,0.0,12.4,26.400000000000006
0,00-0001112,S.Bennett,8,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,126.0,1.0,0.0,0.0,5.0,-5.063972954449631,0.0,4.0,8.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.9819876192486845,0.0,0.0,21.299999999999997,25.299999999999997
0,00-0001215,J.Bettis,16,1999,1.0,1.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.988065069541335,0.0,0.0,296.0,1082.0,7.0,2.0,1.0,64.0,-18.12342471243914,0.0,21.0,28.0,110.0,0.0,0.0,0.0,0.0,21.0,2.0,-3.4411611896939576,0.0,0.0,164.04000000000002,185.04
0,00-0001218,S.Beuerlein,16,1999,340.0,565.0,4413.0,36.0,14.0,49.0,274.0,8.0,5.0,0.0,0.0,206.0,85.1015774592842,0.0,1.9764118714752061,24.0,105.0,1.0,3.0,3.0,5.0,-13.340570632167204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.02000000000004,293.02000000000004
0,00-0001224,T.Biakabutuka,11,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,718.0,6.0,2.0,1.0,27.0,-3.288268597680146,0.0,23.0,29.0,189.0,0.0,1.0,0.0,0.0,3.0,9.0,4.8924617513257544,0.0,0.0,124.70000000000002,147.7
0,00-0001233,E.Bieniemy,5,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,75.0,1.0,0.0,0.0,4.0,6.116096162586473,0.0,2.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,2.274315402843058,0.0,0.0,16.3,18.3
0,00-0001281,E.Bjornson,9,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,1.0,0.0,0.0,1.0,4.850853825744707,0.0,10.0,18.0,131.0,0.0,0.0,0.0,0.0,0.0,6.0,6.268024344404694,0.0,0.0,21.1,31.1
0,00-0001317,W.Blackwell,10,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,36.0,186.0,0.0,1.0,0.0,0.0,0.0,11.0,-9.352390573872997,0.0,0.0,18.599999999999998,38.6
0,00-0001335,J.Blake,14,1999,211.0,383.0,2630.0,15.0,12.0,30.0,168.0,6.0,4.0,0.0,0.0,123.0,-18.538091563664167,2.0,1.596196058094765,59.0,315.0,2.0,4.0,1.0,23.0,13.827434125098803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.7,178.7
0,00-0001361,D.Bledsoe,16,1999,303.0,533.0,3969.0,19.0,21.0,55.0,342.0,6.0,2.0,0.0,0.0,183.0,-26.07521266139601,0.0,1.262790473705023,42.0,101.0,0.0,0.0,0.0,11.0,-1.0883971166068678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.86,198.86
